ocupacoes,atividades
Analista de planejamento e orçamento - apo,Subsidiar elaboração de diretrizes de política fiscal
Analista de planejamento e orçamento - apo,Avaliar processo orçamentário
Analista de planejamento e orçamento - apo,Administrar conflitos
Analista de planejamento e orçamento - apo,Desenvolver sistema de indicadores
Analista de planejamento e orçamento - apo,Demonstrar pró-atividade
Assistente administrativo,Demonstrar capacidade de adaptação de linguagem
Assistente administrativo,Conferir dados e datas
Assistente administrativo,Coletar dados
Assistente administrativo,Transmitir credibilidade
Assistente administrativo,Providenciar devolução de material fora de especificação
Escriturário de banco,Comunicar-se
Escriturário de banco,Transferir débitos e créditos entre bancos e agências
Escriturário de banco,Liquidar contratos
Escriturário de banco,Atualizar-se profissionalmente
Escriturário de banco,Atualizar documentos em arquivo
Técnico de contabilidade,Apurar o resultado da alienação
Técnico de contabilidade,Criar relatório de custo
Técnico de contabilidade,Definir centro de custos
Técnico de contabilidade,Fazer balancetes de verificação
Técnico de contabilidade,Preparar fluxo de caixa
Contador,Administrar o prontuário dos funcionários
Contador,Parametrizar aplicativos contábeis/fiscais e de suporte
Contador,Confrontar as informações contábeis com custos
Contador,Providenciar defesa
Contador,"Utilizar fax, telefone,internet e intranet"
Analista de recursos humanos,Preparar multiplicadores para treinamento
Analista de recursos humanos,Indicar testemunhas para depor em causas trabalhistas
Analista de recursos humanos,Coordenar eventos sociais da empresa
Analista de recursos humanos,Orientar empregados sobre benefícios
Analista de recursos humanos,Propor ações corretivas resultantes da avaliação
Analista de pesquisa de mercado,Demonstrar capacidade de flexibilidade
Analista de pesquisa de mercado,Subsidiar desenvolvimento e/ou melhorias de processos
Analista de pesquisa de mercado,Acompanhar atuação da concorrência
Analista de pesquisa de mercado,"Relacionar-se com a mídia, órgãos governamentais, entidades de classe e associações, entre outros"
Analista de pesquisa de mercado,Demonstrar capacidade de abstração
Jornalista,Pesquisar informações
Jornalista,Ler livros
Jornalista,Hierarquizar a informação
Jornalista,Desenvolver capacidade de organização
Jornalista,Executar pauta
Redator de publicidade,Demonstrar habilidade de comunicação verbal
Redator de publicidade,Apresentar projeto para cliente
Redator de publicidade,Antever cenários futuros
Redator de publicidade,Demonstrar pró-atividade
Redator de publicidade,Demonstrar liderança
Analista de desenvolvimento de sistemas,Elaborar dicionário de dados
Analista de desenvolvimento de sistemas,Testar sistemas
Analista de desenvolvimento de sistemas,Demonstrar capacidade de trabalhar sob pressão
Analista de desenvolvimento de sistemas,Atender chamados/tickets (incidentes)
Analista de desenvolvimento de sistemas,Identificar riscos
Economista,Realizar análises setoriais e regionais
Economista,Coletar dados
Economista,Gerenciar bancos de dados
Economista,Auxiliar em políticas de marketing
Economista,Recrutar equipe
Administrador,Avaliar viabilidade de projetos
Administrador,Trabalhar em equipe
Administrador,Estabelecer rotinas de trabalho
Administrador,Estabelecer metodologia de avaliação
Administrador,Demonstrar capacidade de comunicação
Advogado,Realizar audiências trabalhistas
Advogado,Cumprir prazos legais
Advogado,"Analisar, fatos, relatórios e documentos"
Advogado,Agir com ética
Advogado,Demonstrar criatividade
Analista financeiro (instituições financeiras),Demonstrar capacidade de síntese
Analista financeiro (instituições financeiras),"Apurar taxas médias, prazos e saldos médios das carteiras"
Analista financeiro (instituições financeiras),Demonstrar capacidade de comunicação oral e escrita
Analista financeiro (instituições financeiras),Assegurar implantação de normas locais e da matriz
Analista financeiro (instituições financeiras),Determinar indicadores financeiros (performance)
Analista de logistica,Definir prazos
Analista de logistica,Demonstrar capacidade de iniciativa
Analista de logistica,Dimensionar necessidade de materiais
Analista de logistica,Selecionar informações
Analista de logistica,Demonstrar capacidade de administrar o tempo
Professor de matemática no ensino médio,"Corrigir provas, trabalhos e outros instrumentos de avaliação"
Professor de matemática no ensino médio,Estimular a continuidade da escolaridade
Professor de matemática no ensino médio,Escolher material didático e pedagógico
Professor de matemática no ensino médio,"Desenvolver as percepções estética, ética e política nos alunos"
Professor de matemática no ensino médio,Propor a aquisição e manutenção de equipamentos e instalações
Desenhista industrial gráfico (designer gráfico),Demonstrar capacidade de percepção
Desenhista industrial gráfico (designer gráfico),Solicitar parecer de outros profissionais
Desenhista industrial gráfico (designer gráfico),Avaliar idéias ou conceitos propostos
Desenhista industrial gráfico (designer gráfico),Realizar pesquisa de campo
Desenhista industrial gráfico (designer gráfico),Registrar patente ou direito autoral
Técnico de suporte ao usuário de tecnologia da informação,Demonstrar capacidade de agilidade no atendimento
Técnico de suporte ao usuário de tecnologia da informação,Monitorar registros de erros
Técnico de suporte ao usuário de tecnologia da informação,"Recuperar arquivos, programas e relatórios"
Técnico de suporte ao usuário de tecnologia da informação,Demonstrar capacidade de observação
Técnico de suporte ao usuário de tecnologia da informação,Instalar softwares e/ou sistemas operacionais
Supervisor administrativo,Emitir notas fiscais e recibos
Supervisor administrativo,Demonstrar fluência verbal e escrita
Supervisor administrativo,Trabalhar em equipe
Supervisor administrativo,Reembolsar despesas
Supervisor administrativo,Coordenar serviços terceirizados
Corretor de imóveis,Selecionar imóveis e/ou ofertas de grãos de acordo com as necessidades dos clientes
Corretor de imóveis,Demonstrar capacidade de trabalhar em equipe
Corretor de imóveis,Vistoriar imóveis
Corretor de imóveis,Apresentar contratos e/ou confirmação das transações
Corretor de imóveis,Delimitar região de pesquisa
Motorista de caminhão (rotas regionais e internacionais),Centralizar cargas
Motorista de caminhão (rotas regionais e internacionais),Operar empilhadeira com funções múltiplas
Motorista de caminhão (rotas regionais e internacionais),Realizar pequenos reparos no veículo
Motorista de caminhão (rotas regionais e internacionais),Inspecionar água e óleo
Motorista de caminhão (rotas regionais e internacionais),Conferir a posição dos animais na gaiola
"Operador de máquinas fixas, em geral",Controlar pressão de condensação e evaporação
"Operador de máquinas fixas, em geral",Monitorar manutenção de máquinas e equipamentos
"Operador de máquinas fixas, em geral",Trabalhar com atenção
"Operador de máquinas fixas, em geral",Demonstrar senso de organização
"Operador de máquinas fixas, em geral",Requisitar materiais e insumos
Eletricista de instalações,Preencher requisição de material
Eletricista de instalações,Interpretar esquemas elétricos dos equipamentos
Eletricista de instalações,Organizar equipamentos e ferramentas
Eletricista de instalações,Emendar condutores elétricos
Eletricista de instalações,Instalar condutores e acessórios
Encanador,Demonstar iniciativa
Encanador,Estudar projeto
Encanador,Tomar decisões rápidas
Encanador,Testar pressão da água que vem da concessionária
Encanador,Fixar redes
Pedreiro,Providenciar as formas para as fundações
Pedreiro,Nivelar as alvenarias
Pedreiro,Esquadrejar as alvenarias
Pedreiro,Disponibilizar os materiais para a obra
Pedreiro,Demolir edificações
"Mecânico de manutenção de máquinas, em geral",Detectar possibilidade de falhas
"Mecânico de manutenção de máquinas, em geral",Demonstrar capacidade de comunicação
"Mecânico de manutenção de máquinas, em geral",Sinalizar equipamentos e máquinas em manutenção
"Mecânico de manutenção de máquinas, em geral",Reutilizar matéria-prima de peças substituídas
"Mecânico de manutenção de máquinas, em geral",Criar dispositivos para redução de riscos de acidentes
Técnico de enfermagem,Recomendar desembarque de pessoa doente e acidentada
Técnico de enfermagem,Ajudar paciente a alimentar-se
Técnico de enfermagem,"Verificar peso corporal, altura e/ou circunferência abdominal de paciente"
Técnico de enfermagem,Aspirar cânula orotraqueal e de traqueostomia
Técnico de enfermagem,Calcular dosagem de medicamentos
Enfermeiro,Demonstrar capacidade de atentar a detalhes
Enfermeiro,Participar de campanhas de combate aos agravos da saúde
Enfermeiro,Avaliar resultados
Enfermeiro,Organizar grupos de estudos
Enfermeiro,Monitorar processo de trabalho
Vendedor de comércio varejista,Preencher relatório de perda de produtos
Vendedor de comércio varejista,Lidar com o público
Vendedor de comércio varejista,Oferecer garantia suplementar
Vendedor de comércio varejista,Demonstrar flexibilidade
Vendedor de comércio varejista,Orientar clientes
Cozinheiro geral,Aguçar visão
Cozinheiro geral,Zelar pelos equipamentos e utensílios
Cozinheiro geral,"Comunicar-se com o salão (garçom, maitre)"
Cozinheiro geral,Planejar rotina de limpeza
Cozinheiro geral,"Elaborar caldos, fundos e molhos básicos"
