,valor
score_media_geral,1.6116666666666666
score_mediana_geral,2.0
score_dp_geral,0.5843226367300981
intra_claude-3-haiku-20240307_mae,0.013333333333333334
intra_claude-3-haiku-20240307_rmse,0.11547005383792516
intra_claude-3-haiku-20240307_corr_r1_r2,0.9669584611095067
intra_gpt-4o-mini_mae,0.03333333333333333
intra_gpt-4o-mini_rmse,0.18257418583505536
intra_gpt-4o-mini_corr_r1_r2,0.95858553055758
entre_modelos_mae,0.45666666666666667
entre_modelos_rmse,0.6819090848492928
entre_modelos_corr_medias,0.5167058805534803
pearson_r,0.5167058805534809
spearman_rho,0.48969460499616996
concordancia_exata,0.5333333333333333
concordancia_tol_0_5,0.5733333333333334
concordancia_tol_1_0,0.9866666666666667
